left_instance_id,right_instance_id
270345,1197344
270345,1043373
270345,795180
270345,1008271
270345,701429
270345,604476
197508,270345
59153,270345
130417,270345
270345,936133
177740,270345
270345,1195899
36005,270345
270345,496011
37195,270345
63975,270345
270345,1063755
270345,785848
1043373,1197344
795180,1197344
1008271,1197344
701429,1197344
604476,1197344
197508,1197344
59153,1197344
130417,1197344
936133,1197344
177740,1197344
1195899,1197344
36005,1197344
496011,1197344
37195,1197344
63975,1197344
1063755,1197344
785848,1197344
795180,1043373
1008271,1043373
701429,1043373
604476,1043373
197508,1043373
59153,1043373
130417,1043373
936133,1043373
177740,1043373
1043373,1195899
36005,1043373
496011,1043373
37195,1043373
63975,1043373
1043373,1063755
785848,1043373
795180,1008271
701429,795180
604476,795180
197508,795180
59153,795180
130417,795180
795180,936133
177740,795180
795180,1195899
36005,795180
496011,795180
37195,795180
63975,795180
795180,1063755
785848,795180
701429,1008271
604476,1008271
197508,1008271
59153,1008271
130417,1008271
936133,1008271
177740,1008271
1008271,1195899
36005,1008271
496011,1008271
37195,1008271
63975,1008271
1008271,1063755
785848,1008271
604476,701429
197508,701429
59153,701429
130417,701429
701429,936133
177740,701429
701429,1195899
36005,701429
496011,701429
37195,701429
63975,701429
701429,1063755
701429,785848
197508,604476
59153,604476
130417,604476
604476,936133
177740,604476
604476,1195899
36005,604476
496011,604476
37195,604476
63975,604476
604476,1063755
604476,785848
59153,197508
130417,197508
197508,936133
177740,197508
197508,1195899
36005,197508
197508,496011
37195,197508
63975,197508
197508,1063755
197508,785848
59153,130417
59153,936133
59153,177740
59153,1195899
36005,59153
59153,496011
37195,59153
59153,63975
59153,1063755
59153,785848
130417,936133
130417,177740
130417,1195899
36005,130417
130417,496011
37195,130417
63975,130417
130417,1063755
130417,785848
177740,936133
936133,1195899
36005,936133
496011,936133
37195,936133
63975,936133
936133,1063755
785848,936133
177740,1195899
36005,177740
177740,496011
37195,177740
63975,177740
177740,1063755
177740,785848
36005,1195899
496011,1195899
37195,1195899
63975,1195899
1063755,1195899
785848,1195899
36005,496011
36005,37195
36005,63975
36005,1063755
36005,785848
37195,496011
63975,496011
496011,1063755
496011,785848
37195,63975
37195,1063755
37195,785848
63975,1063755
63975,785848
785848,1063755
163850,378867
163850,615011
163850,170051
47226,163850
163850,656831
163850,237357
52473,163850
163850,326870
378867,615011
170051,378867
47226,378867
378867,656831
237357,378867
52473,378867
326870,378867
170051,615011
47226,615011
615011,656831
237357,615011
52473,615011
326870,615011
47226,170051
170051,656831
170051,237357
52473,170051
170051,326870
47226,656831
47226,237357
47226,52473
47226,326870
237357,656831
52473,656831
326870,656831
52473,237357
237357,326870
52473,326870
180242,637958
113175,637958
637958,999224
113175,180242
180242,999224
113175,999224
712728,938188
729116,1131636
81979,729116
729116,1032600
696428,729116
502519,729116
729116,794998
729116,998816
371364,729116
729116,983468
38229,729116
590269,729116
729116,852468
389770,729116
729116,1083469
483874,729116
729116,986333
557605,729116
729116,903879
295543,729116
131856,729116
291464,729116
729116,954611
729116,1082248
216431,729116
508994,729116
729116,844933
117055,729116
722520,729116
729116,1115364
729116,944475
722304,729116
729116,904995
492951,729116
729116,1199744
599617,729116
559035,729116
729116,954288
649701,729116
729116,1070036
692334,729116
729116,1149773
556300,729116
289799,729116
175317,729116
729116,767767
688017,729116
118025,729116
725185,729116
60686,729116
729116,978475
729116,855597
593629,729116
729116,925252
729116,1079385
729116,774273
12950,729116
351669,729116
5560,729116
570242,729116
54240,729116
145821,729116
464547,729116
498066,729116
729116,1097190
729116,743096
472984,729116
729116,997206
729116,1030741
96558,729116
555161,729116
729116,1146173
276727,729116
96622,729116
729116,949526
81979,1131636
1032600,1131636
696428,1131636
502519,1131636
794998,1131636
998816,1131636
371364,1131636
983468,1131636
38229,1131636
590269,1131636
852468,1131636
389770,1131636
1083469,1131636
483874,1131636
986333,1131636
557605,1131636
903879,1131636
295543,1131636
131856,1131636
291464,1131636
954611,1131636
1082248,1131636
216431,1131636
508994,1131636
844933,1131636
117055,1131636
722520,1131636
1115364,1131636
944475,1131636
722304,1131636
904995,1131636
492951,1131636
1131636,1199744
599617,1131636
559035,1131636
954288,1131636
649701,1131636
1070036,1131636
692334,1131636
1131636,1149773
556300,1131636
289799,1131636
175317,1131636
767767,1131636
688017,1131636
118025,1131636
725185,1131636
60686,1131636
978475,1131636
855597,1131636
593629,1131636
925252,1131636
1079385,1131636
774273,1131636
12950,1131636
351669,1131636
5560,1131636
570242,1131636
54240,1131636
145821,1131636
464547,1131636
498066,1131636
1097190,1131636
743096,1131636
472984,1131636
997206,1131636
1030741,1131636
96558,1131636
555161,1131636
1131636,1146173
276727,1131636
96622,1131636
949526,1131636
81979,1032600
81979,696428
81979,502519
81979,794998
81979,998816
81979,371364
81979,983468
38229,81979
81979,590269
81979,852468
81979,389770
81979,1083469
81979,483874
81979,986333
81979,557605
81979,903879
81979,295543
81979,131856
81979,291464
81979,954611
81979,1082248
81979,216431
81979,508994
81979,844933
81979,117055
81979,722520
81979,1115364
81979,944475
81979,722304
81979,904995
81979,492951
81979,1199744
81979,599617
81979,559035
81979,954288
81979,649701
81979,1070036
81979,692334
81979,1149773
81979,556300
81979,289799
81979,175317
81979,767767
81979,688017
81979,118025
81979,725185
60686,81979
81979,978475
81979,855597
81979,593629
81979,925252
81979,1079385
81979,774273
12950,81979
81979,351669
5560,81979
81979,570242
54240,81979
81979,145821
81979,464547
81979,498066
81979,1097190
81979,743096
81979,472984
81979,997206
81979,1030741
81979,96558
81979,555161
81979,1146173
81979,276727
81979,96622
81979,949526
696428,1032600
502519,1032600
794998,1032600
998816,1032600
371364,1032600
983468,1032600
38229,1032600
590269,1032600
852468,1032600
389770,1032600
1032600,1083469
483874,1032600
986333,1032600
557605,1032600
903879,1032600
295543,1032600
131856,1032600
291464,1032600
954611,1032600
1032600,1082248
216431,1032600
508994,1032600
844933,1032600
117055,1032600
722520,1032600
1032600,1115364
944475,1032600
722304,1032600
904995,1032600
492951,1032600
1032600,1199744
599617,1032600
559035,1032600
954288,1032600
649701,1032600
1032600,1070036
692334,1032600
1032600,1149773
556300,1032600
289799,1032600
