id,title,cluster
696910,"Dell Thinkpad X230 T410s 15.6 14"" Intel Android Notebook-Black - GHz 64 Pro Pro 7200RPM Paper | Pc | - - Reader, Burner, DVD-Writer - RAM, Lg DVD-Writer",112
250668,"dell thinkpad x230 t410s 15.6 14"" intel android notebook-black - ghz 64 pro pro 7200rpm paper | pc | - reader, burner, dvd-writer - ram, lg dvd-writer",112
756475,"Lenovo ThinkPad X130e 2338 - 11.6"" - Core i3 2367M - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD - Vology",415
1010448,"Amazon.com : Lenovo ThinkPad X130e 2338 - 11.6"" - Core i3 2367M : Laptop Computers : Computers & Accessories",415
306869,"Lenovo ThinkPad X130e 2339 - 11.6"" - Core i3 2367M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology",415
136104,"Lenovo ThinkPad X130e 2339 - 11.6"" - Core i3 2367M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology",415
18404,Amazon.com Thinkcentre & i7 Laptop Notebook eBay Celeron 4GB 2 1g Notebook Win GHz GHz | eBay 320 Laptops Drive 256 x Intel,72
713104,Amazon.com Thinkcentre & i7 Laptop Notebook eBay Celeron 4GB Great 2 1g Notebook Win Mini GHz GHz | eBay 320 Laptops Drive 256 x Intel,72
555485,"Processor with Win Vology Premium Intel 1 downgrade 3.20 & Slate WiFi - 1 8 ThinkPad - GB D2500 LED Graphics, - 2 Dell 2",450
257037,"Dell ThinkPad 1 Vology LED with 8 - Intel 2 Win 3.20 2 Premium D2500 - WiFi GB Processor - Graphics, downgrade & 1 Slate",450
294543,Lenovo Best KAV60 Touch Core 2 4GB Core i7 DDR3 - Backlit | Gaming RW X64 eBay Laptop 8.1 - Rear Gps 240 on Vology Intel - 4000 4400 X,429
281439,240 I7 TOUCH REAR GPS 2 8.1 CORE LENOVO ON 4400 4GB | GAMING VOLOGY RW INTEL - LAPTOP - - CORE X DDR3 X64 EBAY KAV60 4000 BACKLIT BEST,429
269864,"Acer Aspire E1-522-5423 - 15.6"" - A series A4-5000 - Windows 8.1 64-bit - 4 GB RAM - 500 GB HDD",512
536191,"Acer Aspire E1-522-45004G50Mnkk 15.6"" LED Notebook - AMD A-Series A4-5000 1.50 GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - AMD Radeon HD 8330 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",512
864817,"Notebooks Lenovo on 500GB D630 - 8 Atom 4.4 Laptop,Used Cheap QHD eBay - LED Alibaba.com 10 | RAM 64-bit Accessories Best - Accessories - ThinkPad - Alibaba.com Warranty Desktops",587
965327,"500GB ThinkPad - 10 - | Laptop,Used Alibaba.com 4.4 - Accessories 64-bit RAM 8 Atom LED Lenovo Alibaba.com Desktops on Notebooks Best - QHD - Cheap Warranty D630 on eBay",587
158784,asus 8gb - v5 notebook 20be003gca laptop para 3g portable 8 inch topendelectronics 64-bit dual processor - to 7 ebay,179
173012,ASUS 8gb - Laptop Notebook 20BE003GCA V5 to 3g TopEndElectronics - Inch 7 64-bit Dual eBay 8 Para Processor Portable,179
731263,"Dell : Aspire 20AX Black 1 8250, Pricing for i5-3230M 256G Win7 Processor HDD, GB 8 Office GHz 4010U",346
949166,"Dell : Aspire 20AX Black 1 4010U Pricing for i5-3230M Touch 256G Win7 Processor HDD, GB 8 Office GHz 8250,",346
561697,"Miniprice.ca Latitude R2 500gb 1"" Walmart.com Core 2 RAM FX MyGofer.com CA002LE64408WEREM 7 (4 Australia Pro Laptop 128GB GHz Card Laptop GB",390
1223154,"MINIPRICE.CA GHZ R2 500GB 1"" WALMART.COM CORE 2 RAM LAPTOP MYGOFER.COM CA002LE64408WEREM 7 (4 AUSTRALIA PRO LAPTOP 128GB GB CARD FX LATITUDE",390
1101881,Amazon.com Xeon Olympic 15 Carbon 2630QM Case - 4800MQ Bluetooth HDD Windows Word Up 7 eBay,546
